text,predicate_answer,framenet_answer
Aminopterin and nuclear PHENOTYPE of desoxyribonucleinic acid; photometric measurement in GENE intestine.,2,5
Calcium therapy for GENE SIDE_EFFECT in pregnancy.,6,4
Effect of an enzyme chewing METABOLITE on whole GENE protease levels.,3,5
The effect of atrioventricular GENE blockade on PHENOTYPE produced by electric shock.,12,2
Influence of COMPOUND and sodium on uptake and PHENOTYPE of cesium-134 in rats.,3,5
Inhibition of bilirubin conjugation in GENE liver slices by human SIDE_EFFECT and neonatal serum and steroids.,1,3
The effect of COMPOUND on deoxyribonucleic GENE synthesis and the development of resistance to ultraviolet irradiation in E. coli infected with bacteriophage T2.,13,2
Pyruvic oxidase of PHENOTYPE GENE.,2,5
On the role of therapeutic gymnastics in the functional outcome in the treatment of GENE PHENOTYPE in adolescents.,1,3
Cavitary SIDE_EFFECT complicated by PHENOTYPE.,18,0
Corneal endothelium in the spectacled GENE of the gecko GENE.,9,4
CLINICO-PATHOLOGICAL conference; SIDE_EFFECT associated with SIDE_EFFECT of the lungs.,7,6
The presence of COMPOUND in human GENE after oral administration.,7,6
Influence of METABOLITE on the course of experimental ocular tuberculosis and tuberculosis treated with COMPOUND in experimental tuberculosis of normal rabbits.,11,2
Use of a phenothiazine derivative (RP 7843 or majeptil) in the treatment of SIDE_EFFECT and certain PHENOTYPE.,6,4
The Maginot line of otology; PHENOTYPE antibiotics in suppurative PHENOTYPE disease; facts and fancies.,7,6
Effect of COMPOUND and COMPOUND on irradiation of stimulation in the spinal cord.,3,5
Characterization of serotonin and METABOLITE containing PHENOTYPE from blood platelets by drugs.,3,5
Determination of the content of GENE included in the erythrocytes with the aid of GENE rays of Fe59.,3,5
Studies on specific leukocytic antigens and essay of application of specific GENE in PHENOTYPE.,11,2
Research on the biosynthesis of nicotinic acid from COMPOUND during pregnancy and the fetal and neonatal GENE. Tryptophan-pyrrolase and 3-hydroxyanthranilic oxidase activity of rat liver.,2,5
Sodium and(or) COMPOUND added in vitro did not affect the conversion of COMPOUND to aldosterone.,5,3
Plasma prothrombin in PHENOTYPE and SIDE_EFFECT; evaluation of the two stage method in 75 cases.,11,2
Incorporation in vitro of (32)P-labeled lysolecithin (LPC) or lysoCOMPOUND (LGENE) into respectively lecithin (PC) and COMPOUND (GENE) of rabbit granulocytes and alveolar macrophages was compared in the absence and in the presence of ingestible particles.,2,5
The label in the ooplasm is not removed by extraction with GENE (although this removes nuclear label) unless extraction is preceded by a treatment with GENE.,9,4
The in vivo METABOLITE conjugation of radioactive COMPOUND and androsterone by the dog kidney.,5,3
Stimulation of hemin synthesis in Ehrlich ascites tumor cells by GENE GENE RNA.,2,5
"Hemodynamic studies have demonstrated that the fall of blood FINDINGS in SIDE_EFFECT caused by endotoxin in dogs does not result primarily from dilatation or ""vasomotor collapse."".",12,2
Effect of alimentary acidosis and SIDE_EFFECT on growth rate and GENE utilization in rats.,1,3
Prevention of ureteral injury in SIDE_EFFECT of the pelvic PHENOTYPE.,3,5
Effect of GENE on PHENOTYPE of water and sodium in young rats.,1,3
Evaluation by GENE growth of egg GENE and six other partially purified proteins.,1,3
21-Deoxycortisol and other minor steroids in METABOLITE venous GENE of the phalanger (Trichosurus vulpecula).,2,5
Case of pulmonary PHENOTYPE associated with hypertrophic PHENOTYPE osteopathy (Pierre-Marie disease).,7,6
Pathogenesis of SIDE_EFFECT in GENE embryos caused by a pleuropneumonia-like organism.,3,5
Subcellular distribution of testosterone in GENE prostate and its possible relationship to nuclear ribonucleic GENE synthesis.,2,5
Changes in amplitude of the palpebral fissure and eyeball PHENOTYPE following SIDE_EFFECT of the extrinsic ocular muscles.,3,5
Lipoproteins of GENE stained before electrophoresis gave distinct patterns in COMPOUND gel of 3-percent concentration.,3,5
Studies in BIOLOGICAL_PROCESS; effect of antisplenic-tissue-serum on experimentally induced PHENOTYPE in mice.,1,3
Effects similar to changes in PHENOTYPE produced in cats by injection with COMPOUND.,1,3
It may be possible to prevent loss of vision in PHENOTYPE or permanent PHENOTYPE to important viscera in generalized disease.,11,2
Problems of electrolyte and METABOLITE balance in SIDE_EFFECT.,11,2
Infrared analysis of carbon tetrachloride and COMPOUND in GENE.,3,5
The effect of COMPOUND upon the body weight of mice injected with COMPOUND.,2,5
Arm and knee PHENOTYPE in children with Still's disease and SIDE_EFFECT.,3,5
The sialic acids content of GENE of patients with PHENOTYPE.,2,5
Cytochemistry of GENE GENE in rabbits in radiation sickness.,11,2
Aminotripeptidase PHENOTYPE of synovial fluid in arthritic PHENOTYPE.,11,2
Functional PHENOTYPE of cerebral cortex in PHENOTYPE.,7,6
Conversion of 3-hydroxyanthranilic acid to COMPOUND in the presence of liver tissue in rats in Oberling's PHENOTYPE in leukemic phase.,3,5
Intravenous COMPOUND in patients with SIDE_EFFECT.,1,3
Ultrasonographic discovery of GENE formation in PHENOTYPE.,7,6
Infection of cells treated with guanidine and COMPOUND and then washed to remove the guanidine inhibition of virus growth GENE no effect on antiviral activity already established by interferon.,2,5
On the effect of terramycin (METABOLITE) and colimycin on dysenterial SIDE_EFFECT.,8,5
Cushing's syndrome caused by PHENOTYPE in a 9-year-old child associated with hypertrophy of the thymus and SIDE_EFFECT. Transabdominal adrenalectomy.,12,2
Effect of hypoxia on GENE COMPOUND.,2,5
Effect of serum and serum globulin of patients with SIDE_EFFECT on neuromuscular PHENOTYPE.,13,2
Organic and inorganic COMPOUND levels in GENE of sheep receiving daily oral doses of I131.,3,5
Observations on the effect of cortisone on BIOLOGICAL_PROCESS and GENE formation.,13,2
Effect of METABOLITE on GENE level in rabbit.,3,5
Production of PHENOTYPE in the rabbit by infusion of phosphatide or GENE fat.,1,3
Inconstant changes in GENE and PHENOTYPE indices were observed in the protected animals.,3,5
The SIDE_EFFECT in the skin of patients having SIDE_EFFECT was of subepidermal type.,1,3
Oxygen consumption and glycogen PHENOTYPE of the liver and right and left ventricles of the heart of rats treated with testosterone propionate and COMPOUND of digitalis.,6,4
Significance of balance of hyaluronic acid and hyaluronidase in pathogenesis of certain GENE PHENOTYPE.,12,2
Incorporation and hydroxylation of GENE 5-C-14 into collagen of GENE.,2,5
Tumours induced by GENE GENE in monkeys conditioned with progesterone.,12,2
Blood nitrite and nitrate PHENOTYPE after oral and intravenous administration of COMPOUND in rabbits.,6,4
Diphenhydramine (METABOLITE) and tripelennamine (pyribenzamine) SIDE_EFFECT in children.,1,3
Possibilities of neuroplegic therapy of encephalitis in PHENOTYPE of young children; tests of COMPOUND (RP 4560).,6,4
Possibility of bone SYMPTOMS during BIOLOGICAL_PROCESS; gradual correction of deformities in children.,1,3
Yearly GENE of blood COMPOUND in a hibernating animal; the dormouse (Eliomys quercinus L.).,3,5
A study GENE made on the effect of COMPOUND on systems involving trypsin and BAEE(1) or TSAME on the one hand.,5,3
Controlled PHENOTYPE in SIDE_EFFECT.,6,4
The effect of thyrotropic GENE upon GENE cholesterol.,3,5
Fluctuations of the blood COMPOUND during the menstrual cycle; PHENOTYPE of essential dysmenorrhea.,2,5
Effect of COMPOUND in acute PHENOTYPE.,13,2
Spleno-renal anastomosis for SIDE_EFFECT with SIDE_EFFECT in a case of fibrocystic disease (mucoviscidosis).,6,4
Apropos of a clinical case of Radulescu's GENE (congenital partial gigantism associated with a PHENOTYPE).,7,6
Ether simulating alcohol in GENE; studies on medical staff engaged in an operation performed under ether PHENOTYPE.,3,5
First observations on the use of COMPOUND in the therapy of diabetes insipidus in SIDE_EFFECT.,6,4
Augmentation of COMPOUND consumption of GENE brain in vitro by various carbohydGENEe intermediates.,2,5
Effect of COMPOUND nicotinate on the isolated GENE of the frog.,2,5
Radiodiagnosis and pathogenesis of phalangeal PHENOTYPE (Thiemann's PHENOTYPE).,3,5
The complement-fixation reaction with antigen of PHENOTYPE (Nicolas-Favre PHENOTYPE) in natives of the Stanleyville region (Belgian Congo).,1,3
On the effect of levomycetin resistant Flexner SIDE_EFFECT bacteria on the development of postinfection PHENOTYPE.,13,2
Effect of elevated levels of steroid hormones on intact and regeneGENEing GENE GENE.,2,5
Intrathoracic SIDE_EFFECT of the liver by an unrecognized PHENOTYPE of the diaphragm.,3,5
Anti-LW PHENOTYPE in a child with combined immune deficiency disease (PHENOTYPE).,1,3
Morphological studies on the effect of hydergine on the PHENOTYPE and the cells of nuclei GENE.,13,2
Efficacy of hypertensin 2 in a case of severe cardiogenic shock PHENOTYPE to therapy with GENE.,9,4
Concerning the choice of therapy for FINDINGS SIDE_EFFECT.,6,4
On the pathogenesis of GENE erythroblastosis: demonstration of quantitative variations in the power of neonatal erythrocytes to combine with MOLE_FUNCTION.,2,5
Subocclusive PHENOTYPE caused by external PHENOTYPE (clinico-radiological considerations).,12,2
Is it necessary to continue treating GENE PHENOTYPE by intraarticular injections of hydrocortisone.,3,5
Effect of METABOLITE upon the hemolysis of human blood caused by COMPOUND.,13,2
Results of PHENOTYPE and equilibrium tests in SIDE_EFFECT patients.,1,3
Histamine stimulation of gastric GENE secretion in GENE.,6,4
Passive movement of METABOLITE and COMPOUND across the human small intestinal mucosa.,3,5
Bronchiogenic GENE associated with an anomalous pulmonary artery arising from the thoracic GENE.,3,5
Molecular weight and coenzyme PHENOTYPE of pyruvate decarboxylase from brewer's GENE.,3,5
The effects of nervous SIDE_EFFECT on the blood GENE system.,3,5
Intraperitoneal administration of COMPOUND in PHENOTYPE.,6,4
Variations of the pressure in the right GENE PHENOTYPE in cardiac patients receiving blood transfusion.,3,5
SYMPTOMS in rheumatoid arthritis (primary chronic SIDE_EFFECT) in childhood. I. Blood picture.,7,6
Influence of exogenous COMPOUND on live enzymes and glycogen and METABOLITE ascorbic acid in albino rats.,6,4
A case of aleucia hemorrhagica (Frank) and panmyelophthisis PHENOTYPE to urethane treatment in PHENOTYPE.,6,4
Abnormally high basal or peak GENE output in patients with SIDE_EFFECT but negative barium meals may suggest the presence of peptic ulceration.,1,3
Monamine GENE inhibitors in SIDE_EFFECT.,6,4
A case of bacterial endarteritis and PHENOTYPE superimposed on a long standing femoral SIDE_EFFECT cured by excision.,3,5
Undecylenic acid in the treatment of SIDE_EFFECT and SIDE_EFFECT.,6,4
Hydromineral exchange in liver diseases. IV. Effect of METABOLITE on urinary excretion of antidiuretic substances and on PHENOTYPE to antidiuretin in liver cirrhosis with ascites and in other liver diseases.,13,2
Considerations on neonatal thyroid diseases. Illustration of hyperfunctioning PHENOTYPE in GENE.,1,3
Kinetic studies of the metabolism of foreign organic compounds; the formation of COMPOUND from benzamide COMPOUND.,3,5
Effect of cortisone on PHENOTYPE of tumor transplants and on resistance to PHENOTYPE.,2,5
A case of hemispheric SIDE_EFFECT of GENE accompanied by hypertension; considerably caused by intoxication of streptomycin.,3,5
A rational treatment for SIDE_EFFECT of the PHENOTYPE and temporal bone.,2,5
How to use COMPOUND supplements without causing intestinal SIDE_EFFECT.,3,5
Blood PHENOTYPE and reaction to METABOLITE of the nictitating membrane in cats.,2,5
Therapy of PHENOTYPE with the anti-allergic COMPOUND.,9,4
SIDE_EFFECT consecutive to spinal puncture in SIDE_EFFECT; therapy with histamine injections.,4,4
Urinary excretion of COMPOUND and trimethylamines after intravenous administration of COMPOUND in liver diseases.,11,2
The role of the anterior GENE GENE in the production of antibodies.,31,2
Calcium and COMPOUND BIOLOGICAL_PROCESS in calves.,7,6
Most of the acute arteritis GENE seen in rabbits receiving fraction V (GENE).,14,4
Mechanism of BIOLOGICAL_PROCESS with pyridine nucleotides. II. The minimal and maximal GENE content of crystallized yeast alcohol dehydrogenase.,2,5
Differences between the inhibition of electric and of chemical excitation of frog GENE and frog GENE.,2,5
Pathogenesis and prevention of PHENOTYPE after pneumonectomy in SIDE_EFFECT.,7,6
Grave amaurosis during SIDE_EFFECT SIDE_EFFECT.,7,6
A comparison of nystatin and COMPOUND sulfate in experimental PHENOTYPE of chickens and turkeys.,11,2
(b) Both cerebral transketolase and pyruvate decarboxylase activities are impaired in low thiamine encephalopathy and the abnormality in the pyruvate decarboxylase is PHENOTYPE in a rise in GENE lactate.,2,5
A comparison of the sensory SIDE_EFFECT produced by COMPOUND and by limb compression.,12,2
Pattern of COMPOUND incorporation into GENE of growing chick aorta.,2,5
The concentration of COMPOUND in the blood of Phormia regina GENE found to determine the rate of energy expenditure during flight as reflected in measurements of the wing-beat frequency.,3,5
Sensory changes in the upper limb during GENE in SIDE_EFFECT.,7,6
Hyperplastic SIDE_EFFECT in GENE.,7,6
Objective evaluation of COMPOUND (cercine) as a preanesthetic medication--its effects on adrenal GENE function.,3,5
METABOLITE excretion in infants with PHENOTYPE.,1,3
Blood catecholamine levels in PHENOTYPE and SIDE_EFFECT.,4,4
Influence of a terminal GENE of fasting on the serum and tissue lipid effects of METABOLITE (CPIB).,5,3
Repeated digestive PHENOTYPE during Groenblad-Strandberg-Touraine PHENOTYPE. Apropos of 3 cases.,7,6
Inactivation of the prophage GENE GENE without induction.,2,5
Treatment of severe PHENOTYPE syndrome in PHENOTYPE.,7,6
Correlation between PHENOTYPE in PHENOTYPE.,7,6
The Distribution of METABOLITE and GENE in the Resting and GENEigued Muscle of the Cat.,3,5
Effect of GENE on transplantable mouse PHENOTYPE.,13,2
Recovery from GENE changes produced in METABOLITE glands of the rat by administration of cortisone.,2,5
Excretion of METABOLITE and COMPOUND in the urine of rats during deficiency of vitamin B12 and after administration of propionate.,3,5
Comparison of lymphatic absorption of METABOLITE and COMPOUND in the rat.,22,1
Variations in electrolytes and dissolved GENE of the gastric juice following GENE stimulation.,3,5
Esters of gamma-guanidino-l-alpha-toluene-p-sulphonamidobutyric acid (alpha-N-toluene-p-sulphonyl-l-norarginine) have been synthesized and shown to be hydrolysed by bovine GENE and GENE.,5,3
Aminoaciduria as a manifestation of renal tubular injury in METABOLITE intoxication and a comparison with patterns of SIDE_EFFECT seen in other diseases.,7,6
Serum COMPOUND in PHENOTYPE; serial determinations in cases of recent onset.,11,2
Secondary surgery in gastric and SIDE_EFFECT; SIDE_EFFECT of the jejunum.,3,5
Histological study of reticular connective GENE and basal membranes of irradiated GENE.,2,5
Clinical evaluation of GENE (diisopropyl fluorophosphate) in SIDE_EFFECT.,11,2
Role of METABOLITE in rat SIDE_EFFECT.,11,2
Evaluation of renal PHENOTYPE by means of the radionephrogram in a case of kidney disease due to SIDE_EFFECT.,12,2
Rubella complement-fixing GENEs derived from the fluid and GENE phases of infected BHK-21 cells: extraction of cell-associated GENE with alkaline buffers.,2,5
Multiple PHENOTYPE with terminal plasmocytic PHENOTYPE.,3,5
The influence of methyl testosterone on METABOLITE SIDE_EFFECT as it affects the periodontium.,13,2
On changes in the thermoregulatory BIOLOGICAL_PROCESS in patients with SIDE_EFFECT.,1,3
A case of persistent carotid-basilar PHENOTYPE associated with aneurysm of the homolateral middle cerebral artery manifested by oculomotor PHENOTYPE.,7,6
In the patients with testicular feminization COMPOUND PHENOTYPE by slices of skin obtained from the mons was within the normal range.,2,5
"Controlled clinical METABOLITE of COMPOUND (""Marplan"") in hospital psychiatry.",8,5
Neither ;GENE' nor isocitrate dehydrogenase was increased by thyroxine or thyroxine and COMPOUND in testes.,20,0
Copper PHENOTYPE of the blood GENE in Botkin's disease.,3,5
Rickettsial syndrome of GENE tasters. Apropos of two cases of rickettsia by R. conori observed in one GENE in Auvergne.,1,3
Partial nephrectomy on SIDE_EFFECT for intractable SYMPTOMS.,6,4
"Failure of PHENOTYPE of the ""early protein"" induced by an influenza virus in cells infected by SIDE_EFFECT.",5,3
SIDE_EFFECT and PHENOTYPE of the heart.,3,5
The place of PHENOTYPE spinal fusion in treatment of SIDE_EFFECT of the spine.,6,4
Inhibitory action of COMPOUND upon the reflex bradycardia caused by COMPOUND.,12,2
CLINICAL pathological conference; PHENOTYPE with GENE parenchymal and vascular disease.,2,5
Cases of retinitis pigmentosa and GENE treated with GENE.,6,4
A colorimetric method for transaminase in GENE or GENE.,3,5
Effect of adrenaline and adrenergic blocking agents on the basal COMPOUND consumption of the perfused rat GENE.,2,5
Action of ultra-sounds on various organic fluids; GENE GENE.,3,5
Acute COMPOUND (Doriden) SIDE_EFFECT; the use of bemegride (Megimide) and hemodialysis.,8,5
The influence of GENE and age on SIDE_EFFECT in children and young adults.,1,3
Suppression of BIOLOGICAL_PROCESS in the guinea GENE by bilateral electrolytic lesions of the interstitial latero-dorsal hypothalamic nucleus.,1,3
The effects of acetazolamide and diphenylhydantoin on brain COMPOUND and amino acid BIOLOGICAL_PROCESS.,2,5
METABOLITE therapy of urological PHENOTYPE.,9,4
Certain aspects of action of COMPOUND hydrazine on GENE and myocardial explants cultured in vitro.,3,5
Adrenal PHENOTYPE and PHENOTYPE in nephrosis and diabetic nephropathy.,7,6
Potentiation of smooth surface caries by COMPOUND variously administered to the white GENE.,14,4
Formation and PHENOTYPE of SIDE_EFFECT in the family.,1,3
Potassium COMPOUND attenuation of the histopathologic effect of SIDE_EFFECT on the myocardium of the rat.,13,2
The seminal vesicle as the source of the spermatozoa-coating GENE of seminal GENE.,3,5
Role of PHENOTYPE in the problem of SIDE_EFFECT in industrial workers.,13,2
Effect of roentgen therapy on GENE SIDE_EFFECT.,13,2
"Effect of SIDE_EFFECT factors on ""adrenalin oxidase"" in the blood GENE.",3,5
There is evidence that mucus production is continuous and is accompanied by regeneration of GENE cells and elimination of necrotic cells at the distal GENE.,3,5
Interstitial GENE with iridocyclitis with unilateral predominance in a patient who GENE had congenital syphilis. Complete recovery after 198 million units of penicillin.,3,5
Analysis of the causes of SIDE_EFFECT in the neonatal anoxia GENE.,11,2
Studies on ribonucleic GENE synthesis in nuclei isolated from rat GENE.,3,5
Early recognition of PHENOTYPE and congenital PHENOTYPE of the hip. An evaluation of Shenton's line.,3,5
METABOLITE and electrolyte state in PHENOTYPE.,11,2
Lack of influence of vitamin B12 on GENE catabolic action of METABOLITE.,5,3
Influence of age on rate of PHENOTYPE of sliced GENE.,13,2
Immobilization of Treponema pallidum in vitro by a specific MOLE_FUNCTION produced in SIDE_EFFECT and complement.,12,2
Concealed drainage of the middle GENE of the lung into the superior vena cava through a tributary of the superior pulmonary GENE.,2,5
Changes of electrolyte concentration in GENE and in heart GENE caused by digitalis and their influence on the effect of digitalis.,3,5
Secondary complications caused by compound E and GENE substance ACTH in the treatment of rheumatoid arthritis and other PHENOTYPE.,8,5
Reinforcement of colon anastomoses using COMPOUND foam treated with COMPOUND.,9,4
Studies on pathogenesis and immunity in PHENOTYPE; BIOLOGICAL_PROCESS of the white rat to Bacterium tularense.,7,6
Experimental PHENOTYPE in GENE rats following renal operations.,1,3
It is suggested that the presence of fructose diphosphatase and GENE in white muscle may be GENE to operation of the alpha-glycerophosphate-dihydroxyacetone phosphate and malate-oxaloacetate cycles in this tissue.,7,6
Is it necessary to continue treating hip PHENOTYPE by intraarticular injections of METABOLITE.,3,5
Prevention of PHENOTYPE in rabbit by intravenous microcrystallized estradiol METABOLITE and dextran.,24,4
Modification by imipramine of the bronchodilator PHENOTYPE to isoprenaline in GENE patients.,6,4
A case of Darier's PHENOTYPE with lesions of acrokeratosis verruciformis of the Hopf-type in a father and GENE.,1,3
One-half gram of COMPOUND daily with COMPOUND and PAS used as a re-treatment regimen in pulmonary tuberculosis.,9,4
